"Department","Province","District","Month","Year","IncidenceCount","X._Pop_1_NBI","X._Inadq_Housing","X._Overcrowding","X._Pop_No_Hygeine","X._High_Econ_Depend","X._Pop_No_pubwater","X._No_Light","X._Homes_Dirt_Floor","X._Homes_Firewood","X._no_computer","X._no_cellphone","X._no_internet","X._Homes_1_room","X._Difficulty_Moving","X._limited_interact_wothes","Illiteracy_Rate","Precipitation","Temperature","Wind_Speed","Wind_Direction_Degrees","Relative_Humidity"
"LIMA","LIMA","ANCON","March",2021,0,0.217,0.107,0.097,0.009,0.012,0.4872362049,0.1551981826,0.1667961978,0.07087200642,0.7165119743,0.08668500057,0.7100378137,0.254737849,0.02334413933,0.00921688279,0.07869310959,1.2,22.7899193548387,2.14354838709677,285.952956989247,82.0645161290323
"LIMA","LIMA","ANCON","April",2021,0,0.217,0.107,0.097,0.009,0.012,0.4872362049,0.1551981826,0.1667961978,0.07087200642,0.7165119743,0.08668500057,0.7100378137,0.254737849,0.02334413933,0.00921688279,0.07869310959,0,19.9026388888889,1.91571627260083,286.488178025035,86.8458333333333
"LIMA","LIMA","ANCON","May",2021,0,0.217,0.107,0.097,0.009,0.012,0.4872362049,0.1551981826,0.1667961978,0.07087200642,0.7165119743,0.08668500057,0.7100378137,0.254737849,0.02334413933,0.00921688279,0.07869310959,4.1,18.0791386271871,1.72137096774194,248.282258064516,88.028263795424
"LIMA","LIMA","ANCON","June",2021,0,0.217,0.107,0.097,0.009,0.012,0.4872362049,0.1551981826,0.1667961978,0.07087200642,0.7165119743,0.08668500057,0.7100378137,0.254737849,0.02334413933,0.00921688279,0.07869310959,0.5,18.1031988873435,1.56328233657858,208.855354659249,82.0542420027816
"LIMA","LIMA","ANCON","July",2021,0,0.217,0.107,0.097,0.009,0.012,0.4872362049,0.1551981826,0.1667961978,0.07087200642,0.7165119743,0.08668500057,0.7100378137,0.254737849,0.02334413933,0.00921688279,0.07869310959,0.2,17.1916666666667,1.76653225806452,220.991935483871,81.5430107526882
"LIMA","LIMA","ANCON","August",2021,0,0.217,0.107,0.097,0.009,0.012,0.4872362049,0.1551981826,0.1667961978,0.07087200642,0.7165119743,0.08668500057,0.7100378137,0.254737849,0.02334413933,0.00921688279,0.07869310959,0,16.5489247311828,2.11155913978495,230.243279569892,82.5188172043011
"LIMA","LIMA","ANCON","September",2021,0,0.217,0.107,0.097,0.009,0.012,0.4872362049,0.1551981826,0.1667961978,0.07087200642,0.7165119743,0.08668500057,0.7100378137,0.254737849,0.02334413933,0.00921688279,0.07869310959,0,16.1984722222222,2.02166666666667,248.022222222222,82.4777777777778
"LIMA","LIMA","ANCON","October",2021,0,0.217,0.107,0.097,0.009,0.012,0.4872362049,0.1551981826,0.1667961978,0.07087200642,0.7165119743,0.08668500057,0.7100378137,0.254737849,0.02334413933,0.00921688279,0.07869310959,0,17.0907133243607,2.32920592193809,243.033647375505,79.6541049798116
"LIMA","LIMA","ANCON","November",2021,0,0.217,0.107,0.097,0.009,0.012,0.4872362049,0.1551981826,0.1667961978,0.07087200642,0.7165119743,0.08668500057,0.7100378137,0.254737849,0.02334413933,0.00921688279,0.07869310959,0,18.4618055555556,2.23541666666667,249.791666666667,78.9805555555556
"LIMA","LIMA","ANCON","December",2021,0,0.217,0.107,0.097,0.009,0.012,0.4872362049,0.1551981826,0.1667961978,0.07087200642,0.7165119743,0.08668500057,0.7100378137,0.254737849,0.02334413933,0.00921688279,0.07869310959,0.3,20.3709677419355,2.25940860215054,242.827956989247,76.6841397849462
"LIMA","LIMA","ANCON","January",2022,0,0.217,0.107,0.097,0.009,0.012,0.4872362049,0.1551981826,0.1667961978,0.07087200642,0.7165119743,0.08668500057,0.7100378137,0.254737849,0.02334413933,0.00921688279,0.07869310959,11,22.1862585034014,2.25190217391304,271.938858695652,76.8260869565217
"LIMA","LIMA","ANCON","February",2022,0,0.217,0.107,0.097,0.009,0.012,0.4872362049,0.1551981826,0.1667961978,0.07087200642,0.7165119743,0.08668500057,0.7100378137,0.254737849,0.02334413933,0.00921688279,0.07869310959,0.3,21.5512012012012,2.12394578313253,289.406626506024,78.8571428571429
"LIMA","LIMA","ANCON","March",2022,0,0.217,0.107,0.097,0.009,0.012,0.4872362049,0.1551981826,0.1667961978,0.07087200642,0.7165119743,0.08668500057,0.7100378137,0.254737849,0.02334413933,0.00921688279,0.07869310959,2.4,21.0736129905277,1.93157181571816,296.060975609756,79.6463414634146
"LIMA","LIMA","ANCON","April",2022,1,0.217,0.107,0.097,0.009,0.012,0.4872362049,0.1551981826,0.1667961978,0.07087200642,0.7165119743,0.08668500057,0.7100378137,0.254737849,0.02334413933,0.00921688279,0.07869310959,0,18.8386111111111,2.00361111111111,286.256944444444,82.5375
"LIMA","LIMA","ANCON","May",2022,0,0.217,0.107,0.097,0.009,0.012,0.4872362049,0.1551981826,0.1667961978,0.07087200642,0.7165119743,0.08668500057,0.7100378137,0.254737849,0.02334413933,0.00921688279,0.07869310959,0,17.3532345013477,1.83409703504043,244.285714285714,81.6684636118598
"LIMA","LIMA","ANCON","June",2022,0,0.217,0.107,0.097,0.009,0.012,0.4872362049,0.1551981826,0.1667961978,0.07087200642,0.7165119743,0.08668500057,0.7100378137,0.254737849,0.02334413933,0.00921688279,0.07869310959,0,16.3378830083565,1.96699164345404,221.550139275766,79.3091922005571
"LIMA","LIMA","ANCON","July",2022,0,0.217,0.107,0.097,0.009,0.012,0.4872362049,0.1551981826,0.1667961978,0.07087200642,0.7165119743,0.08668500057,0.7100378137,0.254737849,0.02334413933,0.00921688279,0.07869310959,0.2,15.9128552097429,1.88712737127371,217.506775067751,81.0975609756098
"LIMA","LIMA","ANCON","August",2022,0,0.217,0.107,0.097,0.009,0.012,0.4872362049,0.1551981826,0.1667961978,0.07087200642,0.7165119743,0.08668500057,0.7100378137,0.254737849,0.02334413933,0.00921688279,0.07869310959,0,15.6621293800539,2.11347708894879,235.61051212938,81.4636118598383
"LIMA","LIMA","ANCON","September",2022,0,0.217,0.107,0.097,0.009,0.012,0.4872362049,0.1551981826,0.1667961978,0.07087200642,0.7165119743,0.08668500057,0.7100378137,0.254737849,0.02334413933,0.00921688279,0.07869310959,0,15.9411111111111,2.27222222222222,230.0625,79.5680555555556
"LIMA","LIMA","ANCON","October",2022,0,0.217,0.107,0.097,0.009,0.012,0.4872362049,0.1551981826,0.1667961978,0.07087200642,0.7165119743,0.08668500057,0.7100378137,0.254737849,0.02334413933,0.00921688279,0.07869310959,0.2,16.2963709677419,2.40067204301075,234.438172043011,78.0967741935484
"LIMA","LIMA","ANCON","November",2022,0,0.217,0.107,0.097,0.009,0.012,0.4872362049,0.1551981826,0.1667961978,0.07087200642,0.7165119743,0.08668500057,0.7100378137,0.254737849,0.02334413933,0.00921688279,0.07869310959,0.1,18.5620305980528,2.27437325905292,244.387186629526,76.3922114047288
"LIMA","LIMA","ANCON","December",2022,0,0.217,0.107,0.097,0.009,0.012,0.4872362049,0.1551981826,0.1667961978,0.07087200642,0.7165119743,0.08668500057,0.7100378137,0.254737849,0.02334413933,0.00921688279,0.07869310959,0,21.1327956989247,2.18897849462366,254.385752688172,76.6612903225806
